Sleeves,Length,Type,Color,Fabric,Neck,Work,Knitted or Woven
Half,Short,Daily Wear,Blue,Chanderi,Round Neck,Embroidered,Kintted
Full,Medium,Eveningwear,Pink,Cotton,Chinese Collar,Printed,Woven
3/4th,Long,Regular,Purple,Cotton Silk,Sweetheart Neck,Handcrafted,
,,Casual,White,Cotton,Boat Neck,,
,,Party Wear,Brown,Cotton,Square Neck,,
,,,Wine,Silk,V-Neck,,
,,,Yellow,Cotton Silk,,,
,,,Orange,Cotton,,,
,,,Red,Pure Georgette,,,
,,,Green,Faux Georgette,,,
,,,Beige,Kota Doria,,,
,,,Rust,Cotton Jute,,,
,,,Violet,Pashmina Silk,,,
,,,Black,Net,,,
,,,Turquoise,Art Silk,,,
,,,Cream,Satin,,,
,,,Maroon,Art Crepe,,,
,,,Grey,Chiffon,,,
,,,,Pure Crepe,,,
,,,,Faux Chiffon,,,
,,,,Kota Doria,,,
,,,,Cotton Jute,,,
,,,,Pashmina Silk,,,
,,,,Net,,,
,,,,Art Silk,,,
,,,,Satin,,,
,,,,Art Crepe,,,
,,,,Chiffon,,,
,,,,Pure Crepe,,,
,,,,Faux Chiffon,,,
,,,,Crepe Jacquard,,,
,,,,Dupion Silk,,,
,,,,Corduaroy,,,
,,,,Microvelvet,,,
,,,,Woolen,,,
