SKU,Code,mrp,wholesale_price,Mk UP,Promotion Type
4,BLR0030003,123,49,2.510204082,B1G1
5,BLR0030004,123,49,2.510204082,B1G1
6,BLR0030005,137,54,2.537037037,B1G1
8,BLR0030007,137,54,2.537037037,B1G1
9,BLR0030008,137,54,2.537037037,B1G1
12,BLR0030011,100,40,2.5,B1G1
13,BLR0030012,100,40,2.5,B1G1
16,BLR0030015,33,12,2.75,B1G1
17,BLR0030016,31,13,2.384615385,B1G1
18,BLR0030017,33,12,2.75,B1G1
22,BLR0030021,33,13,2.538461538,B1G1
39,BLR0030038,68,26,2.615384615,B1G1
50,BLR0030050,86,34,2.529411765,B1G1
57,BLR0030056,101,40,2.525,B1G1
84,BLR0030068,61,24,2.541666667,B1G1
89,BLR0030073,61,24,2.541666667,B1G1
90,BLR0030074,61,24,2.541666667,B1G1
143,BLR0060004,126,50,2.52,B1G1
144,BLR0060005,126,50,2.52,B1G1
157,BLR0060018,121,48,2.520833333,B1G1
194,BLR0060038,64,25,2.56,B1G1
201,BLR0060045,82,32,2.5625,B1G1
203,BLR0060049,82,32,2.5625,B1G1
206,BLR0060052,82,32,2.5625,B1G1
208,BLR0060054,64,25,2.56,B1G1
209,BLR0060055,73,29,2.517241379,B1G1
213,BLR0060060,82,32,2.5625,B1G1
214,BLR0060061,64,25,2.56,B1G1
216,BLR0060063,64,25,2.56,B1G1
227,BLR0060074,137,54,2.537037037,B1G1
234,BLR0060081,137,54,2.537037037,B1G1
241,BLR0060088,130,51,2.549019608,B1G1
243,BLR0060090,130,51,2.549019608,B1G1
271,BLR0060127,69,27,2.555555556,B1G1
272,BLR0060128,69,27,2.555555556,B1G1
302,BLR0030078,99,39,2.538461538,B1G1
304,BLR0030080,99,39,2.538461538,B1G1
454,BLR0030109,91,36,2.527777778,B1G1
462,BLR0030118,104,41,2.536585366,B1G1
463,BLR0030119,104,41,2.536585366,B1G1
464,BLR0030120,104,41,2.536585366,B1G1
487,BLR0050045,54,21,2.571428571,B1G1
510,BLR0050068,39,15,2.6,B1G1
532,MUM0010005,70,34,2.058823529,15%
546,MUM0010023,59,29,2.034482759,15%
550,MUM0010027,40,19,2.105263158,15%
554,MUM0010031,84,41,2.048780488,15%
725,BLR0020009,119,47,2.531914894,B1G1
731,BLR0020015,166,66,2.515151515,B1G1
732,BLR0020016,164,65,2.523076923,B1G1
733,BLR0020017,167,66,2.53030303,B1G1
736,BLR0020020,139,55,2.527272727,B1G1
737,BLR0020021,139,55,2.527272727,B1G1
738,BLR0020022,139,55,2.527272727,B1G1
739,BLR0020023,139,55,2.527272727,B1G1
924,BLR0060160,91,36,2.527777778,B1G1
927,BLR0060163,91,36,2.527777778,B1G1
929,BLR0060165,91,36,2.527777778,B1G1
930,BLR0060166,91,36,2.527777778,B1G1
931,BLR0060167,91,36,2.527777778,B1G1
932,BLR0060168,91,36,2.527777778,B1G1
933,BLR0060169,91,36,2.527777778,B1G1
943,BLR0060179,217,86,2.523255814,B1G1
973,BLR0060197,360,143,2.517482517,B1G1
977,BLR0060201,400,160,2.5,B1G1
978,BLR0060202,450,180,2.5,B1G1
981,BLR0060205,450,180,2.5,B1G1
1935,SRT0050107,106,52,2.038461538,15%
2179,BLR0240004,228,90,2.533333333,B1G1
2186,BLR0240011,273,109,2.504587156,B1G1
2219,BLR0240058,128,50,2.56,B1G1
2276,BLR0070050,146,72,2.027777778,15%
2340,BLR0200029,416,207,2.009661836,15%
2373,BLR0200068,290,145,2,15%
2649,BLR0230001,14,6,2.333333333,30%
2650,BLR0230002,14,6,2.333333333,30%
2651,BLR0230003,14,6,2.333333333,30%
2652,BLR0230004,14,6,2.333333333,30%
2653,BLR0230005,14,6,2.333333333,30%
2654,BLR0230006,14,6,2.333333333,30%
2655,BLR0230007,14,6,2.333333333,30%
2656,BLR0230008,14,6,2.333333333,30%
2657,BLR0230009,14,6,2.333333333,30%
2658,BLR0230010,14,6,2.333333333,30%
2659,BLR0230011,14,6,2.333333333,30%
2660,BLR0230012,14,6,2.333333333,30%
2661,BLR0230013,14,6,2.333333333,30%
2662,BLR0230014,14,6,2.333333333,30%
2663,BLR0230015,14,6,2.333333333,30%
2664,BLR0230016,14,6,2.333333333,30%
2665,BLR0230017,14,6,2.333333333,30%
2666,BLR0230018,14,6,2.333333333,30%
2667,BLR0230019,14,6,2.333333333,30%
2668,BLR0230020,14,6,2.333333333,30%
2669,BLR0230021,14,6,2.333333333,30%
2670,BLR0230022,14,6,2.333333333,30%
2671,BLR0230023,14,6,2.333333333,30%
2672,BLR0230024,14,6,2.333333333,30%
2673,BLR0230025,14,6,2.333333333,30%
2675,BLR0230027,14,6,2.333333333,30%
2676,BLR0230028,14,6,2.333333333,30%
2677,BLR0230029,14,6,2.333333333,30%
2678,BLR0230030,14,6,2.333333333,30%
2679,BLR0230031,14,6,2.333333333,30%
2680,BLR0230032,14,6,2.333333333,30%
2681,BLR0230033,14,6,2.333333333,30%
2682,BLR0230034,14,6,2.333333333,30%
2683,BLR0230035,14,6,2.333333333,30%
2684,BLR0230036,14,6,2.333333333,30%
5625,BLR0020042,385,153,2.516339869,B1G1
5626,BLR0020043,407,162,2.512345679,B1G1
5630,BLR0020047,470,187,2.513368984,B1G1
5631,BLR0020048,488,195,2.502564103,B1G1
5633,BLR0020050,496,198,2.505050505,B1G1
5634,BLR0020051,517,206,2.509708738,B1G1
5635,BLR0020052,516,206,2.504854369,B1G1
5637,BLR0020054,637,254,2.507874016,B1G1
5894,BLR0060207,82,27,3.037037037,B1G1
5895,BLR0060208,82,27,3.037037037,B1G1
5896,BLR0060209,77,25,3.08,B1G1
5897,BLR0060210,77,25,3.08,B1G1
5899,BLR0060212,93,30,3.1,B1G1
5900,BLR0060213,88,29,3.034482759,B1G1
5901,BLR0060214,88,29,3.034482759,B1G1
5902,BLR0060215,82,27,3.037037037,B1G1
5903,BLR0060216,82,27,3.037037037,B1G1
5904,BLR0060217,93,30,3.1,B1G1
5905,BLR0060218,93,30,3.1,B1G1
5907,BLR0060220,82,27,3.037037037,B1G1
5908,BLR0060221,71,23,3.086956522,B1G1
5909,BLR0060222,101,33,3.060606061,B1G1
5910,BLR0060223,71,23,3.086956522,B1G1
5911,BLR0060224,208,69,3.014492754,B1G1
5912,BLR0060225,202,67,3.014925373,B1G1
5913,BLR0060226,101,33,3.060606061,B1G1
5914,BLR0060227,208,69,3.014492754,B1G1
5958,BLR0360015,45,18,2.5,B1G1
6071,BLR0050104,123,40,3.075,B1G1
6073,BLR0050106,69,22,3.136363636,B1G1
6079,BLR0050112,145,48,3.020833333,B1G1
6082,BLR0050115,126,41,3.073170732,B1G1
6083,BLR0050116,126,41,3.073170732,B1G1
6241,MUM0070094,160,93,1.720430108,10%
6328,BLR0150213,298,99,3.01010101,B1G1
6329,BLR0150214,311,103,3.019417476,B1G1
6340,BLR0150225,369,122,3.024590164,B1G1
6863,MUM0160012,21,10,2.1,15%
6886,MUM0160035,27,13,2.076923077,15%
6889,MUM0160038,27,13,2.076923077,15%
6890,MUM0160039,33,16,2.0625,15%
6891,MUM0160040,33,16,2.0625,15%
6893,MUM0160042,33,16,2.0625,15%
6894,MUM0160043,20,9,2.222222222,20%
6899,MUM0160048,44,21,2.095238095,15%
6963,SRT0050181,128,70,1.828571429,10%
7074,SRT0040341,87,48,1.8125,10%
7077,SRT0040344,67,37,1.810810811,10%
7078,SRT0040345,67,37,1.810810811,10%
7079,SRT0040346,67,37,1.810810811,10%
7295,MUM0160054,14,7,2,15%
7296,MUM0160055,14,7,2,15%
7302,MUM0160061,23,11,2.090909091,15%
7304,MUM0160063,23,11,2.090909091,15%
7305,MUM0160064,30,15,2,15%
7310,MUM0160069,30,15,2,15%
7314,MUM0160073,30,15,2,15%
7316,MUM0160075,19,9,2.111111111,15%
7725,BLR0420015,575,229,2.510917031,B1G1
7750,MUM0160117,15,7,2.142857143,15%
7752,MUM0160119,15,7,2.142857143,15%
7762,MUM0160129,23,11,2.090909091,15%
7764,MUM0160131,23,11,2.090909091,15%
7765,MUM0160132,23,11,2.090909091,15%
7766,MUM0160133,23,11,2.090909091,15%
7767,MUM0160134,23,11,2.090909091,15%
7801,MUM0160168,21,10,2.1,15%
