"Pin Code","OLD","Name of Location ","State Name","Zone","Region","Cntrl St.","EXP","CGO","SFC","To Pay","COD","Station Type "
111001,"CPL","Connaught Place - DEL","Delhi","A","North","DEL","Y","Y","Y","Y","Y","Aramex Own Station"
110002,"CPL","Connaught Place - DEL","Delhi","A","North","DEL","Y","Y","Y","Y","Y","Aramex Own Station"
110003,"CPL","Connaught Place - DEL","Delhi","A","North","DEL","Y","Y","Y","Y","Y","Aramex Own Station"
110004,"CPL","Connaught Place - DEL","Delhi","A","North","DEL","Y","Y","Y","Y","Y","Aramex Own Station"
110005,"CPL","Connaught Place - DEL","Delhi","A","North","DEL","Y","Y","Y","Y","Y","Aramex Own Station"
110006,"CPL","Connaught Place - DEL","Delhi","A","North","DEL","Y","Y","Y","Y","Y","Aramex Own Station"
110007,"MYP","Connaught Place - DEL","Delhi","A","North","DEL","Y","Y","Y","Y","Y","Aramex Own Station"
110008,"CPL","Connaught Place - DEL","Delhi","A","North","DEL","Y","Y","Y","Y","Y","Aramex Own Station"
110009,"MYP","Connaught Place - DEL","Delhi","A","North","DEL","Y","Y","Y","Y","Y","Aramex Own Station"
110010,"MHP","Mahipalpur","Delhi","A","North","DEL","Y","Y","Y","Y","Y","Aramex Own Station"
110011,"CPL","Connaught Place - DEL","Delhi","A","North","DEL","Y","Y","Y","Y","Y","Aramex Own Station"
110012,"MYP","Connaught Place - DEL","Delhi","A","North","DEL","Y","Y","Y","Y","Y","Aramex Own Station"
110013,"NPL","Nehru Place - DEL","Delhi","A","North","DEL","Y","Y","Y","Y","Y","Aramex Own Station"
110014,"NPL","Nehru Place - DEL","Delhi","A","North","DEL","Y","Y","Y","Y","Y","Aramex Own Station"
110015,"MYP","Connaught Place - DEL","Delhi","A","North","DEL","Y","Y","Y","Y","Y","Aramex Own Station"
110016,"MHP","Mahipalpur","Delhi","A","North","DEL","Y","Y","Y","Y","Y","Aramex Own Station"
110017,"NPL","Nehru Place - DEL","Delhi","A","North","DEL","Y","Y","Y","Y","Y","Aramex Own Station"
110018,"MYP","Connaught Place - DEL","Delhi","A","North","DEL","Y","Y","Y","Y","Y","Aramex Own Station"
110019,"NPL","Nehru Place - DEL","Delhi","A","North","DEL","Y","Y","Y","Y","Y","Aramex Own Station"
110020,"NPL","Nehru Place - DEL","Delhi","A","North","DEL","Y","Y","Y","Y","Y","Aramex Own Station"
110021,"MHP","Mahipalpur","Delhi","A","North","DEL","Y","Y","Y","Y","Y","Aramex Own Station"
110022,"MHP","Mahipalpur","Delhi","A","North","DEL","Y","Y","Y","Y","Y","Aramex Own Station"
110023,"NPL","Nehru Place - DEL","Haryana","A","North","DEL","Y","Y","Y","Y","Y","Aramex Own Station"
110024,"NPL","Nehru Place - DEL","Delhi","A","North","DEL","Y","Y","Y","Y","Y","Aramex Own Station"
110025,"NPL","Nehru Place - DEL","Delhi","A","North","DEL","Y","Y","Y","Y","Y","Aramex Own Station"
110026,"MYP","Connaught Place - DEL","Delhi","A","North","DEL","Y","Y","Y","Y","Y","Aramex Own Station"
110027,"MYP","Connaught Place - DEL","Delhi","A","North","DEL","Y","Y","Y","Y","Y","Aramex Own Station"
110028,"MYP","Connaught Place - DEL","Delhi","A","North","DEL","Y","Y","Y","Y","Y","Aramex Own Station"
110029,"MHP","Mahipalpur","Mahipalpur","A","North","DEL","Y","Y","Y","Y","Y","Aramex Own Station"
110030,"MHP","Mahipalpur","Mahipalpur","A","North","DEL","Y","Y","Y","Y","Y","Aramex Own Station"
110031,"CPL","Connaught Place - DEL","Delhi","A","North","DEL","Y","Y","Y","Y","Y","Aramex Own Station"
110032,"CPL","Connaught Place - DEL","Delhi","A","North","DEL","Y","Y","Y","Y","Y","Aramex Own Station"
